City_ID,City,Lat,Lng,Max Temp,Weather Description,Rain,Snow,Humidity,Cloudiness,Wind Speed,Country,Date
150,Santa Isabel,-23.32,-46.22,62.6,broken clouds,0.0,0,77,66,8.05,BR,2020-06-19 01:48:14
151,Polyarnyye Zori,67.37,32.5,46.67,light rain,0.15,0,83,62,14.09,RU,2020-06-19 01:48:15
152,Caranavi,-15.82,-67.55,64.06,broken clouds,0.0,0,92,83,1.12,BO,2020-06-19 01:48:15
153,Zyryanka,65.75,150.85,86.81,broken clouds,0.0,0,24,78,8.68,RU,2020-06-19 01:46:30
154,Yellowknife,62.46,-114.35,68.0,few clouds,0.0,0,34,20,16.11,CA,2020-06-19 01:48:15
155,Vao,-22.67,167.48,71.71,light rain,0.16,0,80,55,16.71,NC,2020-06-19 01:48:16
156,Balikpapan,-1.27,116.83,78.42,overcast clouds,0.0,0,92,100,8.66,ID,2020-06-19 01:48:16
157,Khandbari,27.37,87.2,74.34,light rain,0.43,0,77,100,0.38,NP,2020-06-19 01:48:16
158,Uyskoye,54.38,60.0,50.68,overcast clouds,0.0,0,66,100,1.52,RU,2020-06-19 01:48:16
159,Kathu,7.92,98.33,78.8,shower rain,0.0,0,88,40,1.12,TH,2020-06-19 01:48:16
160,Smithers,54.78,-127.17,62.6,light intensity shower rain,0.0,0,77,90,6.93,CA,2020-06-19 01:48:16
161,Caluquembe,-13.78,14.68,47.5,clear sky,0.0,0,70,0,3.89,AO,2020-06-19 01:48:17
162,Saint-Louis,16.33,-15.0,89.06,broken clouds,0.0,0,39,57,13.87,SN,2020-06-19 01:48:17
163,Broome,42.25,-75.83,66.99,clear sky,0.0,0,93,1,5.82,US,2020-06-19 01:48:17
164,Ostrovnoy,68.05,39.51,42.57,light rain,0.89,0,93,100,15.46,RU,2020-06-19 01:48:17
165,Xinzhou,38.41,112.73,78.75,broken clouds,0.0,0,45,83,2.57,CN,2020-06-19 01:48:17
166,Chingirlau,51.09,54.08,55.9,clear sky,0.0,0,75,0,9.28,KZ,2020-06-19 01:48:18
167,Almenara,-16.18,-40.69,69.58,light rain,0.29,0,88,94,2.3,BR,2020-06-19 01:48:18
168,Daru,-9.08,143.21,78.58,light rain,0.17,0,82,100,16.78,PG,2020-06-19 01:48:18
169,Paamiut,61.99,-49.67,38.21,clear sky,0.0,0,89,8,15.7,GL,2020-06-19 01:46:58
170,Saldanha,-33.01,17.94,62.6,clear sky,0.0,0,45,0,11.41,ZA,2020-06-19 01:48:19
171,Santiago,-33.46,-70.65,46.4,broken clouds,0.0,0,87,75,2.24,CL,2020-06-19 01:44:01
172,Banda Aceh,5.56,95.32,84.42,broken clouds,0.0,0,70,69,7.38,ID,2020-06-19 01:45:36
173,Kavaratti,10.57,72.64,84.7,overcast clouds,0.0,0,79,100,17.74,IN,2020-06-19 01:48:19
174,Torbay,47.67,-52.73,62.01,overcast clouds,0.0,0,72,90,13.87,CA,2020-06-19 01:48:19
175,Nishihara,26.18,127.76,86.0,broken clouds,0.0,0,79,75,25.28,JP,2020-06-19 01:48:19
176,Faanui,-16.48,-151.75,80.53,few clouds,0.0,0,74,12,1.25,PF,2020-06-19 01:48:20
177,Cacador,-26.78,-51.02,61.45,overcast clouds,0.0,0,87,86,6.82,BR,2020-06-19 01:48:20
178,Northam,51.03,-4.22,55.0,moderate rain,1.98,0,100,100,10.0,GB,2020-06-19 01:45:48
179,Cidreira,-30.18,-50.21,66.94,light rain,0.17,0,95,25,7.76,BR,2020-06-19 01:48:20
180,Sretensk,52.25,117.71,78.48,few clouds,0.0,0,26,12,7.05,RU,2020-06-19 01:48:21
181,Tiksi,71.69,128.87,55.83,overcast clouds,0.0,0,66,100,2.64,RU,2020-06-19 01:45:20
182,Itarema,-2.92,-39.92,78.06,light rain,0.18,0,82,0,12.21,BR,2020-06-19 01:48:21
183,Mar Del Plata,-38.0,-57.56,51.01,clear sky,0.0,0,87,0,9.17,AR,2020-06-19 01:44:38
184,Hasaki,35.73,140.83,66.2,light rain,0.0,0,100,75,12.75,JP,2020-06-19 01:48:21
185,Aleksandrov Gay,50.15,48.57,64.35,clear sky,0.0,0,68,3,17.67,RU,2020-06-19 01:48:21
186,Provideniya,64.38,-173.3,55.4,scattered clouds,0.0,0,62,29,11.18,RU,2020-06-19 01:48:22
187,Kaitangata,-46.28,169.85,50.0,few clouds,0.0,0,63,11,15.01,NZ,2020-06-19 01:48:22
188,Solnechnyy,50.72,136.63,46.76,overcast clouds,0.0,0,91,100,6.6,RU,2020-06-19 01:48:22
189,Teya,60.38,92.63,68.79,overcast clouds,0.0,0,39,100,10.07,RU,2020-06-19 01:48:22
190,Hailey,43.52,-114.32,62.6,overcast clouds,0.0,0,42,90,5.82,US,2020-06-19 01:48:22
191,Vestmanna,62.16,-7.17,48.2,broken clouds,0.0,0,100,72,4.7,FO,2020-06-19 01:48:23
192,Cottonwood,34.74,-112.01,89.01,clear sky,0.0,0,15,0,7.0,US,2020-06-19 01:48:23
193,Paengaroa,-37.82,176.42,60.01,light rain,0.51,0,98,66,5.99,NZ,2020-06-19 01:48:23
194,Togur,58.36,82.83,43.68,light rain,0.27,0,95,100,11.36,RU,2020-06-19 01:48:23
195,Vardo,70.37,31.11,44.85,broken clouds,0.0,0,77,82,22.66,NO,2020-06-19 01:48:23
196,Dosso,13.05,3.19,85.69,broken clouds,0.0,0,55,54,13.58,NE,2020-06-19 01:48:24
197,Talnakh,69.49,88.4,46.4,overcast clouds,0.0,0,65,100,15.66,RU,2020-06-19 01:45:10
198,Mahebourg,-20.41,57.7,71.6,shower rain,0.0,0,68,75,13.87,MU,2020-06-19 01:48:24
199,Verkhnevilyuysk,63.45,120.32,69.98,light rain,0.13,0,58,82,3.13,RU,2020-06-19 01:43:31
200,Whitefish,48.41,-114.34,64.4,scattered clouds,0.0,0,63,40,8.05,US,2020-06-19 01:45:14
201,Axim,4.87,-2.24,77.22,overcast clouds,0.0,0,84,96,12.24,GH,2020-06-19 01:48:25
202,Bayanday,53.07,105.51,68.68,overcast clouds,0.0,0,41,91,7.74,RU,2020-06-19 01:48:25
203,Road Town,18.42,-64.62,82.99,clear sky,0.0,0,85,3,17.0,VG,2020-06-19 01:48:25
204,Coquimbo,-29.95,-71.34,53.6,overcast clouds,0.0,0,81,100,9.17,CL,2020-06-19 01:48:26
205,Mokhsogollokh,61.47,128.92,75.9,broken clouds,0.0,0,38,51,8.86,RU,2020-06-19 01:48:26
206,Nong Khai,17.88,102.74,82.99,broken clouds,0.0,0,100,75,4.7,TH,2020-06-19 01:48:26
207,Dikson,73.51,80.55,32.86,overcast clouds,0.0,0,99,100,14.32,RU,2020-06-19 01:45:18
208,Pevek,69.7,170.31,42.4,clear sky,0.0,0,65,0,9.24,RU,2020-06-19 01:48:26
